127.0.0.1 - - [11/Nov/2020:14:34:12 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:12 +0700] "GET /new-java-web-10-2020/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:12 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:12 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:13 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:14 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:14 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:14 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:14 +0700] "GET /new-java-web-10-2020/trang-chu HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [11/Nov/2020:14:34:14 +0700] "GET /new-java-web-10-2020/template/web/img/lichsu.png HTTP/1.1" 200 9010
